# Swift-BAT daily average light curve for Crab                          
# Generated Fri Aug 24 11:36:02 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53414       0.21864885     0.00791377   2005          44     0.00163894     0.00765271      0     832.00000000   832.00000000   832.00000000
      53416       0.20874311     0.00736396   2005          46     0.00074965     0.00730601      0    4000.00000000  3969.75000000  1024.00000000
      53419       0.19865214     0.00724080   2005          49     0.00164370     0.00695282      0    5632.00000000  1229.25000000     0.00000000
      53420       0.19143617     0.00706373   2005          50     0.00181844     0.00670027      0    2536.00000000   891.56250000     0.00000000
      53421       0.19045841     0.00701480   2005          51     0.00177587     0.00666604      0    2752.00000000   967.50000000     0.00000000
      53422       0.19257205     0.00732402   2005          52     0.00233000     0.00674002      0    1600.00000000   562.50000000     0.00000000
      53423       0.17335646     0.01103922   2005          53     0.00749778     0.00606748      0     216.00000000    54.84375000     0.00000000
      53424       0.18192589     0.00861823   2005          54     0.00472176     0.00636741      0     576.00000000   146.25000000     0.00000000
      53431       0.18047007     0.00644108   2005          61     0.00102515     0.00631645      0    7128.00000000  3235.10937500     0.00000000
      53432       0.20059451     0.00708279   2005          62     0.00076013     0.00702081      0   11176.00000000  4859.06250000    64.00000000
      53434       0.21810749     0.00792090   2005          64     0.00171820     0.00763376      0     912.00000000   867.12500000     0.00000000
      53435       0.21629668     0.00758483   2005          65     0.00038040     0.00757038      0   17840.00000000 17561.75000000    64.00000000
      53437       0.21074882     0.00743010   2005          67     0.00072623     0.00737621      0    5672.00000000  4524.00000000     0.00000000
      53438       0.21685796     0.00762425   2005          68     0.00058664     0.00759003      0    7632.00000000  6853.68750000     0.00000000
      53439       0.19663011     0.00699261   2005          69     0.00100691     0.00688205      0    3696.00000000  2772.00000000  3696.00000000
      53440       0.19758806     0.02008094   2005          70     0.01532728     0.00691558      0      72.00000000    15.46875000     0.00000000
      53441       0.18344315     0.00683645   2005          71     0.00190911     0.00642051      0    2664.00000000   908.46875000   128.00000000
      53442       0.19511108     0.00708537   2005          72     0.00153585     0.00682889      0    2496.00000000  1085.00000000   320.00000000
      53444       0.17485125     0.00620542   2005          74     0.00083520     0.00611979      0   13032.00000000  5333.18750000  1608.00000000
      53445       0.15279451     0.00559597   2005          75     0.00133982     0.00534781      0    7400.00000000  2219.71875000     0.00000000
      53446       0.17302545     0.00695074   2005          76     0.00277365     0.00605589      0    2600.00000000   514.60937500   128.00000000
      53447       0.18846118     0.00752004   2005          77     0.00293606     0.00659614      0    1680.00000000   866.25000000  1680.00000000
      53449       0.19176140     0.00700715   2005          79     0.00163695     0.00671165      0    2904.00000000  1778.78125000     0.00000000
      53450       0.20256499     0.00714768   2005          80     0.00073818     0.00708977      0   14912.00000000 10631.50000000     0.00000000
      53452       0.17527930     0.00713727   2005          82     0.00296554     0.00613478      0    4016.00000000   896.90625000     0.00000000
      53453       0.18541437     0.00668214   2005          83     0.00129504     0.00648950      0    8880.00000000  3743.51173306     0.00000000
